rank,title,domestic_gross,url,opening_weekend,legs,domestic_share,production_budget,infl_adj_domestic_bo,opening_theaters,max_theaters,animated,sequel,remake,genre,domestic_roi
1,Star Wars Ep. VII: The Force Awakens,936662225,https://www.the-numbers.com/movie/Star-Wars-Ep-VII-The-Force-Awakens#tab=summary,247966675,3.78,45.6,533200000,1250025456,4134,4134,0,1,0,sci-fi,0.756680842
2,Avengers: Endgame,858373000,https://www.the-numbers.com/movie/Avengers-Endgame-(2019)#tab=summary,357115007,2.4,31.2,400000000,1059847014,4662,4662,0,1,0,superhero,1.1459325
3,Spider-Man: No Way Home,814811535,https://www.the-numbers.com/movie/Spider-Man-No-Way-Home-(2021)#tab=summary,260138569,3.13,42.4,200000000,896901413,4336,4336,0,1,0,superhero,3.074057675
4,Avatar,785221649,https://www.the-numbers.com/movie/Avatar#tab=summary,77025481,10.19,26.9,237000000,1142948619,3452,3461,0,0,0,sci-fi,2.313171515
5,Top Gun: Maverick,718732821,https://www.the-numbers.com/movie/Top-Gun-Maverick-(2022)#tab=summary,126707459,5.67,49.4,177000000,771972284,4735,4751,0,1,0,action,3.060637407
6,Black Panther,700059566,https://www.the-numbers.com/movie/Black-Panther#tab=summary,202003951,3.47,52.5,200000000,869118952,4020,4084,0,0,0,superhero,2.50029783
7,Avatar: The Way of Water,684075767,https://www.the-numbers.com/movie/Avatar-The-Way-of-Water-(2022)#tab=summary,134100226,5.1,29.5,400000000,723353647,4202,4340,0,1,0,sci-fi,0.710189418
8,Avengers: Infinity War,678815482,https://www.the-numbers.com/movie/Avengers-Infinity-War#tab=summary,257698183,2.63,33.1,300000000,842744575,4474,4474,0,1,0,superhero,1.262718273
9,Titanic,674460013,https://www.the-numbers.com/movie/Titanic-(1997)#tab=summary,28638131,19.02,30.3,200000000,1553447026,2674,3265,0,0,0,superhero,2.372300065
10,Jurassic World,653406625,https://www.the-numbers.com/movie/Jurassic-World#tab=summary,208806270,3.13,39.1,215000000,875110413,4274,4291,0,1,0,sci-fi,2.039100581
11,Inside Out 2,652980194,https://www.the-numbers.com/movie/Inside-Out-2-(2024)#tab=summary,154201673,4.23,38.4,200000000,652980194,4440,4440,1,1,0,adventure,2.26490097
12,Barbie,636785476,https://www.the-numbers.com/movie/Barbie-(2023)#tab=summary,162022044,3.93,44.1,145000000,658303176,4243,4337,0,0,0,comedy,3.391623972
13,Deadpool & Wolverine,636745858,https://www.the-numbers.com/movie/Deadpool-and-Wolverine-(2024)#tab=summary,211435291,3.01,47.6,200000000,636745863,4210,4330,0,1,0,superhero,2.18372929
14,The Avengers,623357910,https://www.the-numbers.com/movie/Avengers-The-(2012)#tab=summary,207438708,3.01,41.1,225000000,885700746,4349,4349,0,0,0,superhero,1.7704796
15,Star Wars Ep. VIII: The Last Jedi,620181382,https://www.the-numbers.com/movie/Star-Wars-Ep-VIII-The-Last-Jedi#tab=summary,220009584,2.82,46.9,262000000,779972729,4232,4232,0,1,0,sci-fi,1.367104511
16,Incredibles 2,608581744,https://www.the-numbers.com/movie/Incredibles-2#tab=summary,182687905,3.33,49,200000000,755549892,4410,4413,1,1,0,superhero,2.04290872
17,The Super Mario Bros. Movie,574934330,https://www.the-numbers.com/movie/Super-Mario-Bros-Movie-The-(2022)#tab=summary,146361865,3.93,42.3,100000000,594379090,4343,4371,1,0,0,comedy,4.7493433
18,The Lion King (Live-Action),543638043,https://www.the-numbers.com/movie/Lion-King-The-(Live-Action)-(2019)#tab=summary,191770759,2.83,32.7,260000000,671238672,4725,4802,0,0,1,adventure,1.09091555
19,The Dark Knight,536625724,https://www.the-numbers.com/movie/Dark-Knight-The#tab=summary,158411483,3.39,53.1,185000000,839972844,4366,4366,0,1,0,superhero,1.900679589
20,Rogue One: A Star Wars Story,533539991,https://www.the-numbers.com/movie/Rogue-One-A-Star-Wars-Story#tab=summary,155081681,3.44,50.6,280200000,692293288,4157,4157,0,1,0,sci-fi,0.904139868
21,Star Wars: The Rise of Skywalker,515202542,https://www.the-numbers.com/movie/Star-Wars-The-Rise-of-Skywalker-(2019)#tab=summary,177383864,2.9,48.2,275000000,635794002,4406,4406,0,1,0,sci-fi,0.873463789
22,Beauty and the Beast (Live-Action),504014165,https://www.the-numbers.com/movie/Beauty-and-the-Beast-(2017)#tab=summary,174750616,2.88,40,160000000,635496120,4210,4210,0,0,1,fantasy,2.150088531
23,Star Wars Ep. I: The Phantom Menace,487574671,https://www.the-numbers.com/movie/Star-Wars-Ep-I-The-Phantom-Menace#tab=summary,64810970,7.52,46.6,115000000,1034458044,2970,3126,0,1,0,sci-fi,3.239779748
24,Finding Dory,486295561,https://www.the-numbers.com/movie/Finding-Dory#tab=summary,135060273,3.6,47.4,200000000,635838473,4305,4305,1,1,0,adventure,1.431477805
25,Frozen II,477373578,https://www.the-numbers.com/movie/Frozen-II-(2019)#tab=summary,130263358,3.66,32.9,150000000,589348402,4440,4440,1,1,0,fantasy,2.18249052
26,Wicked,473231120,https://www.the-numbers.com/movie/Wicked-(2024)#tab=summary,112508890,4.21,63.2,145000000,473231120,3888,3888,0,0,0,fantasy,2.263662897
27,Star Wars Ep. IV: A New Hope,460998007,https://www.the-numbers.com/movie/Star-Wars-Ep-IV-A-New-Hope-(1977)#tab=summary,1554475,12.84,59.5,11000000,1858585815,43,2375,0,0,0,sci-fi,40.90890973
28,Moana 2,460404054,https://www.the-numbers.com/movie/Moana-2-(2024)#tab=summary,139787385,3.29,43.4,150000000,460404054,4200,4200,1,1,0,fantasy,2.06936036
29,Avengers: Age of Ultron,459005868,https://www.the-numbers.com/movie/Avengers-Age-of-Ultron#tab=summary,191271109,2.4,32.9,365000000,615819253,4276,4276,0,1,0,superhero,0.257550323
30,Black Panther: Wakanda Forever,453829060,https://www.the-numbers.com/movie/Black-Panther-Wakanda-Forever-(2022)#tab=summary,181339761,2.5,52.8,250000000,486748447,4396,4396,0,1,0,superhero,0.81531624
31,The Dark Knight Rises,448139099,https://www.the-numbers.com/movie/Dark-Knight-Rises-The#tab=summary,160887295,2.79,41.4,230000000,636740344,4404,4404,0,1,0,superhero,0.948430865
32,Shrek 2,439820881,https://www.the-numbers.com/movie/Shrek-2#tab=summary,108037878,4.07,47.1,70000000,800559745,4163,4223,1,1,0,fantasy,5.283155443
33,E.T. the Extra-Terrestrial,439454989,https://www.the-numbers.com/movie/ET-The-Extra-Terrestrial#tab=summary,11911430,25.47,55.1,10500000,1524311267,1101,3010,0,0,0,sci-fi,40.8528561
34,Toy Story 4,434038008,https://www.the-numbers.com/movie/Toy-Story-4-(2019)#tab=summary,120908065,3.59,40.5,200000000,535913741,4575,4575,1,1,0,adventure,1.17019004
35,Captain Marvel,426829839,https://www.the-numbers.com/movie/Captain-Marvel-(2019)#tab=summary,153433423,2.78,37.8,175000000,527013699,4310,4310,0,0,0,superhero,1.439027651
36,The Hunger Games: Catching Fire,424668047,https://www.the-numbers.com/movie/Hunger-Games-Catching-Fire-The#tab=summary,158074286,2.69,49.1,130000000,590654967,4163,4163,0,1,0,action,2.266677285
37,The Lion King,423981226,https://www.the-numbers.com/movie/Lion-King-The#tab=summary,1586753,10.37,42.9,79300000,1024479106,2,2624,1,0,0,adventure,4.346547617
38,Pirates of the Caribbean: Dead Man’s Chest,423315812,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-Dead-Mans-Chest#tab=summary,135634554,3.12,39.7,225000000,730946842,4133,4133,0,0,0,action,0.881403609
39,Jurassic World: Fallen Kingdom,417719760,https://www.the-numbers.com/movie/Jurassic-World-Fallen-Kingdom-(2018)#tab=summary,148024610,2.82,31.9,170000000,518596107,4475,4485,0,1,0,sci-fi,1.457175059
40,Jurassic Park,415404543,https://www.the-numbers.com/movie/Jurassic-Park-(1993)#tab=summary,50159460,8.28,39.2,63000000,1052281077,2404,2778,0,0,0,sci-fi,5.593722905
41,Toy Story 3,415004880,https://www.the-numbers.com/movie/Toy-Story-3#tab=summary,110307189,3.76,38.8,200000000,594892926,4028,4028,1,1,0,adventure,1.0750244
42,Wonder Woman,412563408,https://www.the-numbers.com/movie/Wonder-Woman-(2017)#tab=summary,103251471,4,50.5,150000000,520188645,4165,4165,0,0,0,superhero,1.75042272
43,Doctor Strange in the Multiverse of Madness,411331607,https://www.the-numbers.com/movie/Doctor-Strange-in-the-Multiverse-of-Madness-(2022)#tab=summary,187420998,2.19,43.2,200000000,441800607,4534,4534,0,1,0,superhero,1.056658035
44,Iron Man 3,408992272,https://www.the-numbers.com/movie/Iron-Man-3#tab=summary,174144585,2.35,33.7,200000000,568967103,4253,4253,0,1,0,superhero,1.04496136
45,Captain America: Civil War,408084349,https://www.the-numbers.com/movie/Captain-America-Civil-War#tab=summary,179139142,2.28,35.4,250000000,533576179,4226,4226,0,1,0,superhero,0.632337396
46,The Hunger Games,408010692,https://www.the-numbers.com/movie/Hunger-Games-The#tab=summary,152535747,2.67,60.2,80000000,579723727,4137,4137,0,0,0,action,4.10013365
47,Spider-Man (2002),404652858,https://www.the-numbers.com/movie/Spider-Man#tab=summary,114844116,3.52,49.2,139000000,786818955,3615,3876,0,0,0,superhero,1.91117164
48,Jumanji: Welcome to the Jungle,404508916,https://www.the-numbers.com/movie/Jumanji-Welcome-to-the-Jungle#tab=summary,36169328,8.08,42.1,90000000,505469642,3765,3849,0,0,0,action,3.494543511
49,Transformers: Revenge of the Fallen,402111870,https://www.the-numbers.com/movie/Transformers-Revenge-of-the-Fallen#tab=summary,108966307,3.69,48.1,210000000,606384700,4234,4293,0,1,0,sci-fi,0.914818429
50,Frozen,400953009,https://www.the-numbers.com/movie/Frozen-(2013)#tab=summary,243390,5.95,31.5,150000000,557040448,1,3742,1,0,0,fantasy,1.67302006
51,Spider-Man: Far From Home,391362492,https://www.the-numbers.com/movie/Spider-Man-Far-From-Home-(2019)#tab=summary,92579212,4.23,34.6,160000000,483026677,4634,4634,0,1,0,superhero,1.446015575
52,Guardians of the Galaxy Vol 2,389813101,https://www.the-numbers.com/movie/Guardians-of-the-Galaxy-Vol-2#tab=summary,146510104,2.66,44.9,200000000,491503465,4347,4347,0,1,0,superhero,0.949065505
53,Harry Potter and the Deathly Hallows: Part II,382088758,https://www.the-numbers.com/movie/Harry-Potter-and-the-Deathly-Hallows-Part-II#tab=summary,169189427,2.26,29.1,125000000,543409444,4375,4375,0,1,0,fantasy,2.056710064
54,Spider-Man: Across the Spider-Verse,381593754,https://www.the-numbers.com/movie/Spider-Man-Across-the-Spider-Verse-(2023)#tab=summary,120663589,3.16,56,100000000,394490018,4313,4332,0,1,0,superhero,2.81593754
55,The Lord of the Rings: The Return of the King,381472917,https://www.the-numbers.com/movie/Lord-of-the-Rings-The-Return-of-the-King-The#tab=summary,72629713,5.25,33.9,94000000,708945443,3703,3703,0,1,0,fantasy,3.058222521
56,Finding Nemo,380529370,https://www.the-numbers.com/movie/Finding-Nemo#tab=summary,70251710,5.42,40.7,94000000,695167284,3374,3425,1,0,0,adventure,3.048184787
57,Star Wars Ep. III: Revenge of the Sith,380270577,https://www.the-numbers.com/movie/Star-Wars-Ep-III-Revenge-of-the-Sith#tab=summary,108435841,3.51,44.8,115000000,670961022,3661,3663,0,1,0,sci-fi,2.30670067
58,Jurassic World: Dominion,376851080,https://www.the-numbers.com/movie/Jurassic-World-Dominion-(2022)#tab=summary,145075625,2.6,37.5,185000000,404765978,4676,4697,0,1,0,sci-fi,1.037032865
59,Spider-Man 2,374715055,https://www.the-numbers.com/movie/Spider-Man-2#tab=summary,88156227,4.25,47.1,200000000,681474289,4152,4166,0,1,0,superhero,0.873575275
60,The Passion of the Christ,370782930,https://www.the-numbers.com/movie/Passion-of-the-Christ-The#tab=summary,83848082,4.42,59.6,25000000,675261763,3043,3408,0,0,0,biopic,13.8313172
61,Minions: The Rise of Gru,370549695,https://www.the-numbers.com/movie/Minions-The-Rise-of-Gru-(2021)#tab=summary,107010140,3.46,39.5,100000000,397080042,4391,4427,1,1,0,adventure,2.70549695
62,The Batman,369612903,https://www.the-numbers.com/movie/Batman-The-(2021)#tab=summary,134008624,2.76,47.9,200000000,396704516,4417,4417,0,0,0,superhero,0.848064515
63,The Secret Life of Pets,369094830,https://www.the-numbers.com/movie/Secret-Life-of-Pets-The#tab=summary,104352905,3.54,41.7,75000000,482283633,4370,4381,1,0,0,comedy,3.9212644
64,Despicable Me 2,368065385,https://www.the-numbers.com/movie/Despicable-Me-2#tab=summary,84227980,4.37,37.7,76000000,512031161,3997,4003,1,1,0,comedy,3.842965592
65,The Jungle Book (Live-Action),364001123,https://www.the-numbers.com/movie/Jungle-Book-The-(2016)#tab=summary,103261464,3.53,38.2,175000000,475936721,4028,4144,1,0,1,action,1.080006417
66,Deadpool,363070709,https://www.the-numbers.com/movie/Deadpool#tab=summary,132434639,2.74,46.4,58000000,474720195,3558,3856,0,0,0,superhero,5.25983981
67,Despicable Me 4,361004205,https://www.the-numbers.com/movie/Despicable-Me-4-(2024)#tab=summary,75009210,4.81,37.2,100000000,361004207,4428,4449,1,1,0,comedy,2.61004205
68,Guardians of the Galaxy Vol 3,358995815,https://www.the-numbers.com/movie/Guardians-of-the-Galaxy-Vol-3-(2023)#tab=summary,118414021,3.03,42.5,250000000,371137356,4450,4450,0,1,0,superhero,0.43598326
69,Inside Out,356461711,https://www.the-numbers.com/movie/Inside-Out-(2015)#tab=summary,90440272,3.94,41.9,175000000,478242219,3946,4158,1,0,0,adventure,1.036924063
70,Aladdin (Live-Action),355559216,https://www.the-numbers.com/movie/Aladdin-(2019)#tab=summary,91500929,3.89,34.1,182000000,439014705,4476,4476,0,0,1,fantasy,0.953622066
71,Furious 7,353007020,https://www.the-numbers.com/movie/Furious-7#tab=summary,147187040,2.4,23.3,190000000,473607279,4004,4022,0,1,0,action,0.857931684
72,Transformers: Dark of the Moon,352390543,https://www.the-numbers.com/movie/Transformers-Dark-of-the-Moon-(2011)#tab=summary,97852865,3.6,31.4,195000000,502589788,4088,4107,0,1,0,sci-fi,0.80713099
73,American Sniper,350126372,https://www.the-numbers.com/movie/American-Sniper#tab=summary,633456,3.92,63.9,58000000,469837668,4,3885,0,0,0,war,5.036661586
74,The Lord of the Rings: The Two Towers,345115396,https://www.the-numbers.com/movie/Lord-of-the-Rings-The-Two-Towers-The#tab=summary,62007528,5.57,37.4,94000000,663344246,3622,3622,0,1,0,fantasy,2.671440383
75,Thor: Love and Thunder,343256830,https://www.the-numbers.com/movie/Thor-Love-and-Thunder-(2022)#tab=summary,144165107,2.38,45.1,250000000,368683256,4375,4375,0,1,0,superhero,0.37302732
76,Zootopia,341268248,https://www.the-numbers.com/movie/Zootopia-(2016)#tab=summary,75063401,4.55,33.3,150000000,446213159,3827,3959,1,0,0,adventure,1.275121653
77,Spider-Man 3,337607351,https://www.the-numbers.com/movie/Spider-Man-3#tab=summary,151116516,2.23,37.7,258000000,554297637,4252,4324,0,1,0,superhero,0.308555624
78,The Hunger Games: Mockingjay - Part 1,337135885,https://www.the-numbers.com/movie/Hunger-Games-Mockingjay-Part-1-The#tab=summary,121897634,2.77,44,125000000,466136119,4151,4151,0,1,0,action,1.69708708
79,Minions,336045770,https://www.the-numbers.com/movie/Minions#tab=summary,115718405,2.9,29,74000000,450851446,4301,4311,1,0,0,comedy,3.541159054
80,Joker,335451311,https://www.the-numbers.com/movie/Joker-(2019)#tab=summary,96202337,3.49,31.5,55000000,414182628,4374,4374,0,0,0,superhero,5.099114745
81,Aquaman,335061807,https://www.the-numbers.com/movie/Aquaman-(2018)#tab=summary,67873522,4.94,29.6,160000000,415055194,4125,4184,0,0,0,superhero,1.094136294
82,Spider-Man: Homecoming,334580976,https://www.the-numbers.com/movie/Spider-Man-Homecoming#tab=summary,117027503,2.86,38.1,175000000,421763879,4348,4348,0,0,1,superhero,0.911891291
83,Alice in Wonderland (Live-Action),334191110,https://www.the-numbers.com/movie/Alice-in-Wonderland-(2010)#tab=summary,116101023,2.88,32.6,200000000,479049606,3728,3739,0,0,1,fantasy,0.67095555
84,Guardians of the Galaxy,333714112,https://www.the-numbers.com/movie/Guardians-of-the-Galaxy#tab=summary,94320883,3.54,43.3,170000000,461883876,4080,4088,0,0,0,superhero,0.963024188
85,Batman v Superman: Dawn of Justice,330360194,https://www.the-numbers.com/movie/Batman-v-Superman-Dawn-of-Justice#tab=summary,166007347,1.99,37.9,263000000,431950728,4242,4256,0,1,0,superhero,0.256122411
86,Forrest Gump,330151138,https://www.the-numbers.com/movie/Forrest-Gump-(1994)#tab=summary,24450602,13.5,48.6,55000000,909101283,1595,2365,0,0,0,drama,5.002747964
87,Oppenheimer,330078895,https://www.the-numbers.com/movie/Oppenheimer-(2023)#tab=summary,82455420,4,33.8,100000000,341107915,3610,3761,0,0,0,biopic,2.30078895
88,It,328828874,https://www.the-numbers.com/movie/It-(2017)#tab=summary,123403419,2.66,46.9,35000000,412911768,4103,4148,0,0,0,horror,8.395110686
89,Suicide Squad,325100054,https://www.the-numbers.com/movie/Suicide-Squad#tab=summary,133682248,2.43,43.6,175000000,425073016,4255,4255,0,0,0,superhero,0.857714594
90,Deadpool 2,324591735,https://www.the-numbers.com/movie/Deadpool-2#tab=summary,125507153,2.59,41.3,110000000,402977788,4349,4349,0,1,0,superhero,1.950833955
91,Shrek the Third,322719944,https://www.the-numbers.com/movie/Shrek-the-Third#tab=summary,121629270,2.65,40,160000000,530517808,4122,4172,1,1,0,fantasy,1.01699965
92,Transformers,319246193,https://www.the-numbers.com/movie/Transformers#tab=summary,70502384,4.53,45.1,151000000,524807321,4011,4050,0,0,0,sci-fi,1.114213199
93,The Lord of the Rings: The Fellowship of the Ring,318651105,https://www.the-numbers.com/movie/Lord-of-the-Rings-The-Fellowship-of-the-Ring-The#tab=summary,47211490,6.75,35.6,93000000,630098988,3359,3381,0,0,0,fantasy,2.426355968
94,Iron Man,318604126,https://www.the-numbers.com/movie/Iron-Man#tab=summary,102118668,3.12,54.5,186000000,501840839,4105,4154,0,0,0,superhero,0.712925409
95,Harry Potter and the Sorcerer’s Stone,317871467,https://www.the-numbers.com/movie/Harry-Potter-and-the-Sorcerers-Stone#tab=summary,90294621,3.52,33,125000000,633704152,3672,3672,0,0,0,fantasy,1.542971736
96,Indiana Jones and the Kingdom of the Crystal Skull,317101119,https://www.the-numbers.com/movie/Indiana-Jones-and-the-Kingdom-of-the-Crystal-Skull-(2008)#tab=summary,100137835,3.17,40.3,185000000,499500506,4260,4264,0,1,0,action,0.714060103
97,Jumanji: The Next Level,316831246,https://www.the-numbers.com/movie/Jumanji-The-Next-Level#tab=summary,59251543,5.35,39.8,125000000,390861102,4227,4227,0,1,0,action,1.534649968
